Institution,Discipline,Last,First,City,Gender,Region,Macro
Politecnico di BARI,ING-IND,ACCIANI,Giuseppe,Bari,M,Puglia,Sud
PALERMO,ING-INF,ACCIARI,Gianluca,Palermo,M,Sicilia,Sicilia
CATANIA,SECS-P,ACCIARITO,Giovanna,Catania,F,Sicilia,Sicilia
CHIETI-PESCARA,INF,ACCIARO,Vincenzo,Chieti,M,Abruzzo,Sud
MILANO-BICOCCA,FIS,ACCIARRI,Maurizio Filippo,Milano,M,Lombardia,Nord
SIENA,MED,ACCIAVATTI,Angela,Siena,F,Toscana,Centro
CAMERINO,BIO,ACCILI,Daniela,Camerino,F,Marche,Centro
INSUBRIA,MED,ACCOLLA,Roberto,Varese,M,Lombardia,Nord
GENOVA,BIO,ACCOMANDO,Rita,Genova,F,Liguria,Nord
PALERMO,MED,ACCOMANDO,Salvatore,Palermo,M,Sicilia,Sicilia
TERAMO,IUS,ACCONCI,Pia,Teramo,F,Abruzzo,Sud
"NAPOLI \Federico II\\\\\""""",SECS-P,ACCONCIA,Antonio,Napoli,M,Campania,Sud
"ROMA \La Sapienza\\\\\""""",MED,ACCONCIA,Maria Cristina,Roma,F,Lazio,Centro
ROMA TRE,BIO,ACCONCIA,Filippo,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",BIO,ACCORDI,Fiorenza,Roma,F,Lazio,Centro
VERONA,MED,ACCORDINI,Simone,Verona,M,Veneto,Nord
MESSINA,SECS-P,ACCORDINO,Antonino,Messina,M,Sicilia,Sicilia
MESSINA,IUS,ACCORDINO,Patrizia,Messina,F,Sicilia,Sicilia
"ROMA \La Sapienza\\\\\""""",MED,ACCORDINO,Marcello,Roma,M,Lazio,Centro
Parthenope di NAPOLI,BIO,ACCORNERO,Alessandra,Napoli,F,Campania,Sud
TORINO,VET,ACCORNERO,Paolo,Torino,M,Piemonte,Nord
BOLOGNA,VET,ACCORSI,Pier Attilio,Bologna,M,Emilia-Romagna,Nord
"ROMA \La Sapienza\\\\\""""",ICAR,ACCORSI,Maria Letizia,Roma,F,Lazio,Centro
"URBINO \Carlo BO\\\\\""""",BIO,ACCORSI,Augusto,Urbino,M,Marche,Centro
"Univ. \Campus Bio-Medico\\ ROMA\\\""""",ING-IND,ACCOTO,Dino,Roma,M,Lazio,Centro
PARMA,MAT,ACERBIG.,Emilio Daniele,Parma,M,Emilia-Romagna,Nord
TRENTO,L-LIN,ACERENZA,Gerardo,Trento,M,Trentino-Alto-Adige,Nord
SALERNO,FIS,ACERNESE,Fausto,Salerno,M,Campania,Sud
"ROMA \La Sapienza\\\\\""""",MED,ACETI,Antonio,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",MED,ACETI,Franca,Roma,F,Lazio,Centro
CHIETI-PESCARA,BIO,ACETO,Antonio,Chieti,M,Abruzzo,Sud
CHIETI-PESCARA,MED,ACETO,Gitana,Chieti,F,Abruzzo,Sud
"NAPOLI \Federico II\\\\\""""",L-ART,ACETO,Francesco,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",BIO,ACETO,Serena,Napoli,F,Campania,Sud
PIEMONTE ORIENTALE,CHIM,ACETO,Maurizio,Vercelli,M,Piemonte,Nord
PISA,MAT,ACETO,Lidia,Pisa,F,Toscana,Centro
Parthenope di NAPOLI,IUS,ACETODICAPRIGLIA,Salvatore,Napoli,M,Campania,Sud
L AQUILA,SECS-P,ACHARD,Paola Olimpia,Aquila,F,Abruzzo,Sud
Politecnico di MILANO,ICAR,ACHILLE,Cristiana,Milano,F,Lombardia,Nord
BOLOGNA,MAT,ACHILLES,Hans Joachim Rudiger,Bologna,M,Emilia-Romagna,Nord
BARI,L-FIL-LET,ACHILLI,Concetta,Bari,F,Puglia,Sud
PADOVA,ICAR,ACHILLI,Vladimiro,Padova,M,Veneto,Nord
PERUGIA,BIO,ACHILLI,Alessandro,Perugia,M,Umbria,Centro
"NAPOLI \Federico II\\\\\""""",ICAR,ACIERNO,Antonio,Napoli,M,Campania,Sud
PALERMO,ICAR,ACIERNO,Valentina,Palermo,F,Sicilia,Sicilia
SANNIO di BENEVENTO,ING-IND,ACIERNO,Stefano,Benevento,M,Campania,Sud
Politecnico di MILANO,ICAR,ACITO,Maurizio,Milano,M,Lombardia,Nord
PADOVA,L-LIN,ACKERLEY,Katherine,Padova,F,Veneto,Nord
FERRARA,ICAR,ACOCELLA,Alfonso,Ferrara,M,Emilia-Romagna,Nord
FIRENZE,SPS,ACOCELLA,Ivana,Firenze,F,Toscana,Centro
MILANO,VET,ACOCELLA,Fabio,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",M-FIL,ACOCELLA,Giuseppe,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",L-FIL-LET,ACOCELLA,Silvia,Napoli,F,Campania,Sud
"ROMA \La Sapienza\\\\\""""",SECS-P,ACOCELLA,Nicola,Roma,M,Lazio,Centro
ROMA TRE,GEO,ACOCELLA,Valerio,Roma,M,Lazio,Centro
Suor Orsola Benincasa - NAPOLI,IUS,ACOCELLA,Carla,Napoli,F,Campania,Sud
SALERNO,M-PED,ACONE,Giuseppe,Salerno,M,Campania,Sud
SALERNO,L-FIL-LET,ACONE,Leonardo,Salerno,M,Campania,Sud
SASSARI,VET,ACONE,Franca,Sassari,F,Sardegna,Sardegna
Seconda Univ. NAPOLI,MED,ACONE,Daria,Napoli,F,Campania,Sud
ROMA TRE,BIO,ACOSTA,Alicia Teresa Rosario,Roma,F,Lazio,Centro
TORINO,AGR,ACQUADRO,Alberto,Torino,M,Piemonte,Nord
TORINO,M-PSI,ACQUADROMARAN,Daniela,Torino,F,Piemonte,Nord
BARI,GEO,ACQUAFREDDA,Pasquale,Bari,M,Puglia,Sud
"URBINO \Carlo BO\\\\\""""",M-PSI,ACQUARINI,Elena,Urbino,F,Marche,Centro
BOLOGNA,L-OR,ACQUARO,Enrico,Bologna,M,Emilia-Romagna,Nord
MACERATA,IUS,ACQUAROLI,Roberto,Macerata,M,Marche,Centro
GENOVA,IUS,ACQUARONE,Giovanni,Genova,M,Liguria,Nord
CAGLIARI,IUS,ACQUAS,Brunello,Cagliari,M,Sardegna,Sardegna
CAGLIARI,BIO,ACQUAS,Elio Maria Gioacchin,Cagliari,M,Sardegna,Sardegna
INSUBRIA,BIO,ACQUATI,Francesco,Varese,M,Lombardia,Nord
CATANIA,BIO,ACQUAVIVA,Rosaria,Catania,F,Sicilia,Sicilia
"NAPOLI \Federico II\\\\\""""",MED,ACQUAVIVA,Angela Maria,Napoli,F,Campania,Sud
Politecnico di TORINO,ING-INF,ACQUAVIVA,Andrea,Torino,M,Piemonte,Nord
"ROMA \La Sapienza\\\\\""""",MED,ACQUI,Michele,Roma,M,Lazio,Centro
PISA,MAT,ACQUISTAPACE,Francesca,Pisa,F,Toscana,Centro
PISA,MAT,ACQUISTAPACE,Paolo,Pisa,M,Toscana,Centro
MESSINA,FIS,ACRI,Giuseppe,Messina,M,Sicilia,Sicilia
MESSINA,MED,ACRI,Ignazio Eduardo,Messina,M,Sicilia,Sicilia
Politecnico di TORINO,ING-IND,ACTISGRANDE,Marco,Torino,M,Piemonte,Nord
MILANO-BICOCCA,M-PSI,ACTISGROSSO,Rossana,Milano,F,Lombardia,Nord
PERUGIA,AGR,ACUTI,Gabriele,Perugia,M,Umbria,Centro
MILANO,AGR,ACUTIS,Marco,Milano,M,Lombardia,Nord
Politecnico di MILANO,ICAR,ACUTO,Federico,Milano,M,Lombardia,Nord
ROMA TRE,ING-INF,ADACHER,Ludovica,Roma,F,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",IUS,ADAM,Roberto,Roma,M,Lazio,Centro
BRESCIA,ING-INF,ADAMI,Nicola,Brescia,M,Lombardia,Nord
FERRARA,IUS,ADAMI,Franco Edoardo,Ferrara,M,Emilia-Romagna,Nord
GENOVA,MED,ADAMI,Giovanni,Genova,M,Liguria,Nord
MILANO-BICOCCA,MAT,ADAMI,Riccardo,Milano,M,Lombardia,Nord
PADOVA,MED,ADAMI,Fausto,Padova,M,Veneto,Nord
PARMA,BIO,ADAMI,Maristella,Parma,F,Emilia-Romagna,Nord
TORINO,L-LIN,ADAMI,Esterino,Torino,M,Piemonte,Nord
TRIESTE,CHIM,ADAMI,Gianpiero,Trieste,M,Friuli-Venezia-Giulia,Nord
VERONA,MED,ADAMI,Silvano,Verona,M,Veneto,Nord
BRESCIA,ING-IND,ADAMINI,Riccardo,Brescia,M,Lombardia,Nord
della CALABRIA,SECS-P,ADAMO,Rosa,Arcavacata,F,Calabria,Sud
MESSINA,BIO,ADAMO,Elena Bianca,Messina,F,Sicilia,Sicilia
MESSINA,L-LIN,ADAMO,Maria Gabriella,Messina,F,Sicilia,Sicilia
MESSINA,MED,ADAMO,Vincenzo,Messina,M,Sicilia,Sicilia
MILANO-BICOCCA,M-PSI,ADAMO,Simonetta Maria Gabriella,Milano,F,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",AGR,ADAMO,Paola,Napoli,F,Campania,Sud
PIEMONTE ORIENTALE,M-GGR,ADAMO,Francesco,Vercelli,M,Piemonte,Nord
Politecnico di BARI,ING-INF,ADAMO,Francesco,Bari,M,Puglia,Sud
"ROMA \La Sapienza\\\\\""""",BIO,ADAMO,Sergio,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",L-ART,ADAMO,Giorgio,Roma,M,Lazio,Centro
SALENTO,SECS-P,ADAMO,Stefano,Lecce,M,Puglia,Sud
TORINO,M-STO,ADAMO,Pietro,Torino,M,Piemonte,Nord
TRIESTE,L-FIL-LET,ADAMO,Sergia,Trieste,F,Friuli-Venezia-Giulia,Nord
TRENTO,BIO,ADAMS,Daniel Lewis,Trento,M,Trentino-Alto-Adige,Nord
MILANO,AGR,ADANI,Fabrizio,Milano,M,Lombardia,Nord
MODENA e REGGIO EMILIA,SECS-P,ADDABBO,Tindara,Modena,F,Emilia-Romagna,Nord
BARI,AGR,ADDANTE,Rocco,Bari,M,Puglia,Sud
FOGGIA,IUS,ADDANTE,Adriana,Foggia,F,Puglia,Sud
MODENA e REGGIO EMILIA,SPS,ADDARIO,Nicolo,Modena,M,Emilia-Romagna,Nord
"NAPOLI \Federico II\\\\\""""",AGR,ADDEO,Francesco,Napoli,M,Campania,Sud
SALERNO,SPS,ADDEO,Felice,Salerno,M,Campania,Sud
BOLOGNA,L-ART,ADDESSI,Anna Rita,Bologna,F,Emilia-Romagna,Nord
"Libera Univ. \Maria SS.Assunta\\-LUMSA - ROMA\\\""""",MAT,ADDESSI,Mariaelena,Roma,F,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",ICAR,ADDESSI,Daniela,Roma,F,Lazio,Centro
BRESCIA,IUS,ADDIS,Fabio,Brescia,M,Lombardia,Nord
CAGLIARI,MED,ADDIS,Maria,Cagliari,F,Sardegna,Sardegna
CAGLIARI,BIO,ADDIS,Pierantonio,Cagliari,M,Sardegna,Sardegna
ROMA TRE,SECS-P,ADDIS,Michela,Roma,F,Lazio,Centro
SASSARI,SECS-P,ADDIS,Elisabetta,Sassari,F,Sardegna,Sardegna
PISA,M-STO,ADDOBBATI,Andrea,Pisa,M,Toscana,Centro
Cattolica del Sacro Cuore,MED,ADDOLORATO,Giovanni,Milano,M,Lombardia,Nord
Cattolica del Sacro Cuore,MED,ADDUCCI,Enrica,Milano,F,Lombardia,Nord
ROMA TRE,ICAR,ADDUCE,Claudia,Roma,F,Lazio,Centro
BARI,FIS,ADDUCI,Francesco,Bari,M,Puglia,Sud
BOLOGNA,AGR,ADE,Giorgio,Bologna,M,Emilia-Romagna,Nord
PALERMO,SECS-S,ADELFIO,Giada,Palermo,F,Sicilia,Sicilia
FIRENZE,MED,ADEMBRI,Chiara,Firenze,F,Toscana,Centro
TORINO,M-PSI,ADENZATO,Mauro,Torino,M,Piemonte,Nord
"URBINO \Carlo BO\\\\\""""",IUS,ADEZATI,Giovanni,Urbino,M,Marche,Centro
Politecnico di MILANO,ING-IND,ADHIKARI,Rajendra Singh,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",ING-IND,ADILETTA,Giovanni,Napoli,M,Campania,Sud
PADOVA,SECS-S,ADIMARI,Gianfranco,Padova,M,Veneto,Nord
BOLOGNA,AGR,ADINOLFI,Felice,Bologna,M,Emilia-Romagna,Nord
Ca Foscari VENEZIA,M-FIL,ADINOLFI,Isabella,Venezia,F,Veneto,Nord
CASSINO,M-FIL,ADINOLFI,Massimo,Cassino,M,Lazio,Centro
FIRENZE,IUS,ADINOLFI,Adelina,Firenze,F,Toscana,Centro
MILANO,IUS,ADINOLFI,Giovanna,Milano,F,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",MED,ADINOLFI,Lorenzo,Napoli,M,Campania,Sud
PAVIA,MED,ADINOLFI,Daniela,Pavia,F,Lombardia,Nord
SALERNO,SECS-P,ADINOLFI,Paola,Salerno,F,Campania,Sud
Seconda Univ. NAPOLI,MED,ADINOLFI,Luigi Elio,Napoli,M,Campania,Sud
TORINO,L-LIN,ADINOLFI,Pierangela,Torino,F,Piemonte,Nord
"ROMA \La Sapienza\\\\\""""",IUS,ADIUTORI,Anna Rosa,Roma,F,Lazio,Centro
BERGAMO,ICAR,ADOBATI,Fulvio,Bergamo,M,Lombardia,Nord
MACERATA,IUS,ADORNATO,Francesco,Macerata,M,Marche,Centro
