Institution,Discipline,Last,First,City,Gender,Region,Macro
"ROMA \La Sapienza\\\\\""""",MED,MORELLI,Sergio,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",SECS-P,MORELLI,Roberta,Roma,F,Lazio,Centro
SASSARI,BIO,MORELLI,Laura Cornelia Clotilde,Sassari,F,Sardegna,Sardegna
Seconda Univ. NAPOLI,ICAR,MORELLI,Maria Dolores,Napoli,F,Campania,Sud
Seconda Univ. NAPOLI,M-STO,MORELLI,Serena,Napoli,F,Campania,Sud
TERAMO,SECS-P,MORELLI,Giovanna,Teramo,F,Abruzzo,Sud
TORINO,M-STO,MORELLI,Federica,Torino,F,Piemonte,Nord
TORINO,SPS,MORELLI,Umberto,Torino,M,Piemonte,Nord
Cattolica del Sacro Cuore,MED,MORELLISBARRA,Gloria,Milano,F,Lombardia,Nord
MILANO,IUS,MORELLO,Umberto Maria,Milano,M,Lombardia,Nord
PALERMO,AGR,MORELLO,Giuseppe,Palermo,M,Sicilia,Sicilia
PALERMO,SPS,MORELLO,Michela,Palermo,F,Sicilia,Sicilia
PALERMO,MED,MORELLO,Vincenza,Palermo,F,Sicilia,Sicilia
Politecnico di MILANO,ICAR,MORELLO,Eugenio,Milano,M,Lombardia,Nord
"ROMA \Tor Vergata\\\\\""""",MED,MORELLO,Maria,Roma,F,Lazio,Centro
SALERNO,BIO,MORELLO,Silvana,Salerno,F,Campania,Sud
TORINO,VET,MORELLO,Emanuela,Torino,F,Piemonte,Nord
TORINO,MED,MORELLO,Mara,Torino,F,Piemonte,Nord
TORINO,L-LIN,MORELLO,Riccardo,Torino,M,Piemonte,Nord
Politecnico di MILANO,ICAR,MORENA,Marzia,Milano,F,Lombardia,Nord
GENOVA,M-GGR,MORENO,Diego,Genova,M,Liguria,Nord
"ROMA \La Sapienza\\\\\""""",MED,MORENO,Elena,Roma,F,Lazio,Centro
ROMA TRE,BIO,MORENO,Sandra,Roma,F,Lazio,Centro
SANNIO di BENEVENTO,BIO,MORENO,Maria,Benevento,F,Campania,Sud
"ROMA \La Sapienza\\\\\""""",CHIM,MORERA,Enrico,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",IUS,MORERA,Umberto,Roma,M,Lazio,Centro
TUSCIA,AGR,MORERA,Patrizia,Viterbo,F,Lazio,Centro
Cattolica del Sacro Cuore,BIO,MORES,Nadia,Milano,F,Lombardia,Nord
UDINE,MED,MORESCHI,Carlo,Udine,M,Friuli-Venezia-Giulia,Nord
PISA,L-FIL-LET,MORESCHINI,Claudio Maria,Pisa,M,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",MED,MORESCHINI,Oreste,Roma,M,Lazio,Centro
GENOVA,MED,MORESCO,Luciano,Genova,M,Liguria,Nord
MILANO-BICOCCA,MED,MORESCO,Rosa Maria,Milano,F,Lombardia,Nord
PADOVA,FIS,MORESCO,Maurizio,Padova,M,Veneto,Nord
PADOVA,MAT,MORESCO,Roberto,Padova,M,Veneto,Nord
BARI,GEO,MORESI,Marco,Bari,M,Puglia,Sud
TUSCIA,AGR,MORESI,Mauro,Viterbo,M,Lazio,Centro
Ca Foscari VENEZIA,CHIM,MORET,Ivo,Venezia,M,Veneto,Nord
MILANO-BICOCCA,CHIM,MORET,Massimo,Milano,M,Lombardia,Nord
TRIESTE,MAT,MORET,Igor,Trieste,M,Friuli-Venezia-Giulia,Nord
UDINE,CHIM,MORET,Sabrina,Udine,F,Friuli-Venezia-Giulia,Nord
GENOVA,BIO,MORETTA,Alessandro,Genova,M,Liguria,Nord
GENOVA,MED,MORETTA,Lorenzo,Genova,M,Liguria,Nord
CASSINO,SECS-P,MORETTATARTAGLIONE,Andrea,Cassino,M,Lazio,Centro
BARI,MED,MORETTI,Biagio,Bari,M,Puglia,Sud
BARI,GEO,MORETTI,Massimo,Bari,M,Puglia,Sud
BASILICATA,AGR,MORETTI,Nicola,Potenza,M,Basilicata,Sud
BOLOGNA,ICAR,MORETTI,Guido,Bologna,M,Emilia-Romagna,Nord
Ca Foscari VENEZIA,CHIM,MORETTI,Giuseppe,Venezia,M,Veneto,Nord
CHIETI-PESCARA,MED,MORETTI,Antonio,Chieti,M,Abruzzo,Sud
CHIETI-PESCARA,L-FIL-LET,MORETTI,Vito Rocco,Chieti,M,Abruzzo,Sud
FERRARA,FIS,MORETTI,Mauro,Ferrara,M,Emilia-Romagna,Nord
FIRENZE,ICAR,MORETTI,Marino,Firenze,M,Toscana,Centro
FIRENZE,GEO,MORETTI,Sandro,Firenze,M,Toscana,Centro
FIRENZE,MED,MORETTI,Silvia,Firenze,F,Toscana,Centro
GENOVA,ING-IND,MORETTI,Paolo,Genova,M,Liguria,Nord
IULM - MILANO,L-ART,MORETTI,Simona,Milano,F,Lombardia,Nord
L AQUILA,GEO,MORETTI,Antonio,Aquila,M,Abruzzo,Sud
L Orientale di NAPOLI,M-FIL,MORETTI,Giampiero,Napoli,M,Campania,Sud
MILANO,L-FIL-LET,MORETTI,Paola Francesca,Milano,F,Lombardia,Nord
MILANO,BIO,MORETTI,Roberta Manuela,Milano,F,Lombardia,Nord
MILANO,AGR,MORETTI,Vittorio Maria,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",BIO,MORETTI,Aldo,Napoli,M,Campania,Sud
PERUGIA,VET,MORETTI,Annabella,Perugia,F,Umbria,Centro
PERUGIA,AGR,MORETTI,Chiaraluce,Perugia,F,Umbria,Centro
PERUGIA,ING-IND,MORETTI,Elisa,Perugia,F,Umbria,Centro
PERUGIA,MED,MORETTI,Massimo,Perugia,M,Umbria,Centro
PERUGIA,MED,MORETTI,Patrizia,Perugia,F,Umbria,Centro
PISA,ING-INF,MORETTI,Marco,Pisa,M,Toscana,Centro
Politecnica delle MARCHE,SPS,MORETTI,Carla,Ancona,F,Marche,Centro
Politecnica delle MARCHE,SECS-S,MORETTI,Eros,Ancona,M,Marche,Centro
"ROMA \La Sapienza\\\\\""""",M-GGR,MORETTI,Alessandro,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",MED,MORETTI,Corrado,Roma,M,Lazio,Centro
"ROMA \La Sapienza\\\\\""""",CHIM,MORETTI,Giuliano,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",MED,MORETTI,Costanzo,Roma,M,Lazio,Centro
ROMA TRE,M-PED,MORETTI,Giovanni,Roma,M,Lazio,Centro
ROMA TRE,M-GGR,MORETTI,Lidia,Roma,F,Lazio,Centro
SASSARI,CHIM,MORETTI,Mario Domenico Luigi,Sassari,M,Sardegna,Sardegna
Seconda Univ. NAPOLI,ING-INF,MORETTI,Luigi,Napoli,M,Campania,Sud
SIENA,BIO,MORETTI,Elena,Siena,F,Toscana,Centro
Stranieri di SIENA,M-STO,MORETTI,Mauro,Siena,M,Toscana,Centro
TRENTO,L-FIL-LET,MORETTI,Gabriella,Trento,F,Trentino-Alto-Adige,Nord
TRENTO,MAT,MORETTI,Valter,Trento,M,Trentino-Alto-Adige,Nord
TRIESTE,MED,MORETTI,Rita,Trieste,F,Friuli-Venezia-Giulia,Nord
UDINE,SECS-P,MORETTI,Andrea,Udine,M,Friuli-Venezia-Giulia,Nord
"URBINO \Carlo BO\\\\\""""",GEO,MORETTI,Elvio,Urbino,M,Marche,Centro
"URBINO \Carlo BO\\\\\""""",SPS,MORETTI,Sabrina,Urbino,F,Marche,Centro
VERONA,BIO,MORETTI,Ugo,Verona,M,Veneto,Nord
Ca Foscari VENEZIA,CHIM,MORETTO,Ligia Maria,Venezia,F,Veneto,Nord
INSUBRIA,SECS-S,MORETTO,Enrico,Varese,M,Lombardia,Nord
MILANO,MED,MORETTO,Angelo,Milano,M,Lombardia,Nord
PADOVA,CHIM,MORETTO,Alessandro,Padova,M,Veneto,Nord
PADOVA,SECS-P,MORETTO,Michele,Padova,M,Veneto,Nord
VERONA,M-FIL,MORETTO,Antonio,Verona,M,Veneto,Nord
MILANO-BICOCCA,M-FIL,MORFINO,Vittorio,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",SECS-S,MORGAN,Jacqueline,Napoli,F,Campania,Sud
MILANO,L-FIL-LET,MORGANA,Silvia,Milano,F,Lombardia,Nord
CHIETI-PESCARA,SECS-P,MORGANTE,Anna,Chieti,F,Abruzzo,Sud
MESSINA,MED,MORGANTE,Letterio,Messina,M,Sicilia,Sicilia
MILANO,L-LIN,MORGANTE,Jole,Milano,F,Lombardia,Nord
PADOVA,VET,MORGANTE,Massimo,Padova,M,Veneto,Nord
S.ANNA di PISA,IUS,MORGANTE,Gaetana,Pisa,F,Toscana,Centro
SIENA,MED,MORGANTE,Giuseppe,Siena,M,Toscana,Centro
TRIESTE,FIS,MORGANTE,Alberto,Trieste,M,Friuli-Venezia-Giulia,Nord
UDINE,BIO,MORGANTE,Michele,Udine,M,Friuli-Venezia-Giulia,Nord
BERGAMO,M-PSI,MORGANTI,Francesca,Bergamo,F,Lombardia,Nord
Cattolica del Sacro Cuore,MED,MORGANTI,Alessio Giuseppe,Milano,M,Lombardia,Nord
L AQUILA,ICAR,MORGANTI,Renato Teofilo Giuseppe,Aquila,M,Abruzzo,Sud
MILANO,MED,MORGANTI,Alberto,Milano,M,Lombardia,Nord
PERUGIA,M-PED,MORGANTI,Annalisa,Perugia,F,Umbria,Centro
ROMA TRE,ICAR,MORGANTI,Mario,Roma,M,Lazio,Centro
Parthenope di NAPOLI,IUS,MORGERA,Giosafatte,Napoli,M,Campania,Sud
TERAMO,IUS,MORGERA,Paola,Teramo,F,Abruzzo,Sud
CATANIA,MED,MORGIA,Giuseppe,Catania,M,Sicilia,Sicilia
MILANO,AGR,MORGUTTI,Silvia,Milano,F,Lombardia,Nord
BERGAMO,SPS,MORI,Simona Maria Francesca,Bergamo,F,Lombardia,Nord
Bocconi MILANO,SECS-P,MORI,Antonella,Milano,F,Lombardia,Nord
CATANZARO,IUS,MORI,Paola,Catanzaro,F,Calabria,Sud
FIRENZE,IUS,MORI,Giancarlo,Firenze,M,Toscana,Centro
FIRENZE,SECS-P,MORI,Pier Angelo,Firenze,M,Toscana,Centro
FOGGIA,BIO,MORI,Giorgio,Foggia,M,Puglia,Sud
L AQUILA,SECS-P,MORI,Margherita,Aquila,F,Abruzzo,Sud
LUSPIO,L-LIN,MORI,Laura,Roma,F,Lazio,Centro
"NAPOLI \Federico II\\\\\""""",AGR,MORI,Mauro,Napoli,M,Campania,Sud
PADOVA,AGR,MORI,Nicola,Padova,M,Veneto,Nord
PARMA,BIO,MORI,Alessandra,Parma,F,Emilia-Romagna,Nord
PARMA,CHIM,MORI,Giovanni,Parma,M,Emilia-Romagna,Nord
PIEMONTE ORIENTALE,M-FIL,MORI,Gianluca,Vercelli,M,Piemonte,Nord
Politecnica delle MARCHE,BIO,MORI,Mario,Ancona,M,Marche,Centro
Stranieri di PERUGIA,L-FIL-LET,MORI,Anna,Perugia,F,Umbria,Centro
TORINO,MAT,MORI,Andrea,Torino,M,Piemonte,Nord
TORINO,M-FIL,MORI,Massimo,Torino,M,Piemonte,Nord
TORINO,M-FIL,MORI,Maurizio,Torino,M,Piemonte,Nord
VERONA,SPS,MORI,Luca,Verona,M,Veneto,Nord
SIENA,M-STO,MORIANI,Antonella,Siena,F,Toscana,Centro
FIRENZE,AGR,MORICCA,Salvatore,Firenze,M,Toscana,Centro
"NAPOLI \Federico II\\\\\""""",ICAR,MORICHI,Ruggero,Napoli,M,Campania,Sud
PALERMO,BIO,MORICI,Giuseppe,Palermo,M,Sicilia,Sicilia
L Orientale di NAPOLI,SECS-P,MORICOLA,Giuseppe,Napoli,M,Campania,Sud
PERUGIA,SECS-S,MORICONI,Franco,Perugia,M,Umbria,Centro
PERUGIA,VET,MORICONI,Franco,Perugia,M,Umbria,Centro
PISA,M-FIL,MORICONI,Enrico,Pisa,M,Toscana,Centro
Politecnica delle MARCHE,ING-IND,MORICONI,Giacomo,Ancona,M,Marche,Centro
CATANIA,L-OR,MORIGGI,Marco,Catania,M,Sicilia,Sicilia
BERGAMO,SECS-S,MORIGGIA,Vittorio,Bergamo,M,Lombardia,Nord
BOLOGNA,FIS,MORIGI,Maria Pia,Bologna,F,Emilia-Romagna,Nord
BOLOGNA,MAT,MORIGI,Marta,Bologna,F,Emilia-Romagna,Nord
BOLOGNA,CHIM,MORIGI,Rita,Bologna,F,Emilia-Romagna,Nord
BOLOGNA,MAT,MORIGI,Serena,Bologna,F,Emilia-Romagna,Nord
PARMA,L-ANT,MORIGI,Alessia,Parma,F,Emilia-Romagna,Nord
SIENA,M-FIL,MORIGI,Silvio,Siena,M,Toscana,Centro
BERGAMO,IUS,MORINI,Alessandro,Bergamo,M,Lombardia,Nord
BOLOGNA,M-STO,MORINI,Enrico,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,ING-IND,MORINI,Gian Luca,Bologna,M,Emilia-Romagna,Nord
FERRARA,MAT,MORINI,Carlo,Ferrara,M,Emilia-Romagna,Nord
FIRENZE,MAT,MORINI,Benedetta,Firenze,F,Toscana,Centro
GENOVA,ING-IND,MORINI,Andrea,Genova,M,Liguria,Nord
IULM - MILANO,L-ART,MORINI,Enrica,Milano,F,Lombardia,Nord
MILANO-BICOCCA,MED,MORINI,Osvaldo,Milano,M,Lombardia,Nord
PARMA,MAT,MORINI,Fiorenza,Parma,F,Emilia-Romagna,Nord
PARMA,VET,MORINI,Giorgio,Parma,M,Emilia-Romagna,Nord
PARMA,CHIM,MORINI,Giovanni,Parma,M,Emilia-Romagna,Nord
PARMA,BIO,MORINI,Giuseppina,Parma,F,Emilia-Romagna,Nord
PAVIA,L-FIL-LET,MORINI,Luigina,Pavia,F,Lombardia,Nord
PISA,AGR,MORINI,Stefano,Pisa,M,Toscana,Centro
Politecnica delle MARCHE,ING-INF,MORINI,Antonio,Ancona,M,Marche,Centro
SCIENZE GASTRONOMICHE,CHIM,MORINI,Gabriella,Colorno,F,Emilia-Romagna,Nord
SISSA - TRIESTE,MAT,MORINI,Massimiliano,Trieste,M,Friuli-Venezia-Giulia,Nord
UDINE,L-LIN,MORINI,Massimiliano,Udine,M,Friuli-Venezia-Giulia,Nord
"Univ. \Campus Bio-Medico\\ ROMA\\\""""",BIO,MORINI,Sergio,Roma,M,Lazio,Centro
Universit’¾ IUAV di VENEZIA,M-FIL,MORINI,Simonetta,Venezia,F,Veneto,Nord
FIRENZE,L-FIL-LET,MORINO,Alberto,Firenze,M,Toscana,Centro
GENOVA,IUS,MORINO,Marilena,Genova,F,Liguria,Nord
ROMA TRE,ING-IND,MORINO,Luigi,Roma,M,Lazio,Centro
TORINO,MED,MORINO,Mario,Torino,M,Piemonte,Nord
INSUBRIA,BIO,MORIONDO,Andrea,Varese,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",MED,MORISCO,Carmine,Napoli,M,Campania,Sud
"NAPOLI \Federico II\\\\\""""",MED,MORISCO,Filomena,Napoli,F,Campania,Sud
"URBINO \Carlo BO\\\\\""""",L-LIN,MORISCO,Gabriella,Urbino,F,Marche,Centro
FIRENZE,SPS,MORISI,Massimo,Firenze,M,Toscana,Centro
Politecnico di TORINO,ING-INF,MORISIO,Maurizio,Torino,M,Piemonte,Nord
CATANZARO,AGR,MORITTU,Valeria Maria,Catanzaro,F,Calabria,Sud
FOGGIA,L-ANT,MORIZIO,Vincenza,Foggia,F,Puglia,Sud
CHIETI-PESCARA,ICAR,MORLACCHI,Marcella,Chieti,F,Abruzzo,Sud
"ROMA \La Sapienza\\\\\""""",ICAR,MORLACCHI,Maria,Roma,F,Lazio,Centro
SIENA,L-LIN,MORLEY,John Ronald,Siena,M,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",SPS,MORLEYFLETCHER,Edwin,Roma,M,Lazio,Centro
L Orientale di NAPOLI,L-LIN,MORLICCHIO,Elda,Napoli,F,Campania,Sud
"NAPOLI \Federico II\\\\\""""",SPS,MORLICCHIO,Enrica,Napoli,F,Campania,Sud
MODENA e REGGIO EMILIA,SECS-S,MORLINI,Isabella,Modena,F,Emilia-Romagna,Nord
"NAPOLI \Federico II\\\\\""""",MED,MORLINO,Massimo,Napoli,M,Campania,Sud
SUM - Ist. Italiano di SCIENZE UMANE FIRENZE,SPS,MORLINO,Leonardo,Firenze,M,Toscana,Centro
PARMA,GEO,MORLOTTI,Enrica Clementina,Parma,F,Emilia-Romagna,Nord
BARI,IUS,MORMANDO,Vito,Bari,M,Puglia,Sud
Cattolica del Sacro Cuore,MED,MORMILE,Flaminio,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",MED,MORMILE,Mauro,Napoli,M,Campania,Sud
PALERMO,IUS,MORMILE,Lalage,Palermo,F,Sicilia,Sicilia
MILANO,M-FIL,MORMINO,Gianfranco,Milano,M,Lombardia,Nord
PADOVA,MED,MORMINO,Paolo Gino,Padova,M,Veneto,Nord
"ROMA \Tor Vergata\\\\\""""",ICAR,MORNATI,Stefania,Roma,F,Lazio,Centro
TORINO,SECS-P,MORNATI,Fiorenzo,Torino,M,Piemonte,Nord
FIRENZE,ING-IND,MORNESCHI,Diego,Firenze,M,Toscana,Centro
BARI,SPS,MORO,Giuseppe,Bari,M,Puglia,Sud
BOLOGNA,ING-IND,MORO,Davide,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,ING-INF,MORO,Gianluca,Bologna,M,Emilia-Romagna,Nord
CAGLIARI,SECS-P,MORO,Alessio,Cagliari,M,Sardegna,Sardegna
CAGLIARI,SECS-P,MORO,Beniamino,Cagliari,M,Sardegna,Sardegna
Cattolica del Sacro Cuore,AGR,MORO,Daniele,Milano,M,Lombardia,Nord
MILANO-BICOCCA,CHIM,MORO,Giorgio,Milano,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",FIS,MORO,Renata Emilia Maria,Napoli,F,Campania,Sud
PADOVA,CHIM,MORO,Giorgio,Padova,M,Veneto,Nord
PADOVA,BIO,MORO,Isabella,Padova,F,Veneto,Nord
PADOVA,ING-IND,MORO,Lorenzo,Padova,M,Veneto,Nord
PADOVA,ING-INF,MORO,Michele,Padova,M,Veneto,Nord
PADOVA,CHIM,MORO,Stefano,Padova,M,Veneto,Nord
PIEMONTE ORIENTALE,BIO,MORO,Laura,Vercelli,F,Piemonte,Nord
PISA,M-STO,MORO,Cristina,Pisa,F,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",MED,MORO,Maria,Roma,F,Lazio,Centro
ROMA TRE,M-STO,MORO,Renato,Roma,M,Lazio,Centro
S. Raffaele MILANO,L-LIN,MORO,Andrea Carlo,Milano,M,Lombardia,Nord
SASSARI,SECS-P,MORO,Ornella,Sassari,F,Sardegna,Sardegna
Suor Orsola Benincasa - NAPOLI,M-DEA,MORO,Elisabetta,Napoli,F,Campania,Sud
VERONA,M-PSI,MORO,Valentina,Verona,F,Veneto,Nord
Cattolica del Sacro Cuore,SECS-P,MOROVISCONTI,Roberto,Milano,M,Lombardia,Nord
FIRENZE,ICAR,MOROLLI,Gabriele,Firenze,M,Toscana,Centro
Politecnica delle MARCHE,MED,MORONCINI,Gianluca,Ancona,M,Marche,Centro
SALERNO,M-FIL,MORONCINI,Bruno,Salerno,M,Campania,Sud
BARI,SECS-P,MORONE,Andrea,Bari,M,Puglia,Sud
FOGGIA,SECS-P,MORONE,Piergiuseppe,Foggia,M,Puglia,Sud
INSUBRIA,IUS,MORONE,Andrea,Varese,M,Lombardia,Nord
"NAPOLI \Federico II\\\\\""""",ICAR,MORONE,Alfonso,Napoli,M,Campania,Sud
"ROMA \Tor Vergata\\\\\""""",FIS,MORONE,Maria Cristina,Roma,F,Lazio,Centro
BARI,AGR,MORONEFORTUNATO,Irene,Bari,F,Puglia,Sud
BOLOGNA,MED,MORONI,Antonio,Bologna,M,Emilia-Romagna,Nord
FIRENZE,BIO,MORONI,Flavio,Firenze,M,Toscana,Centro
FIRENZE,M-STO,MORONI,Sheyla,Firenze,F,Toscana,Centro
MACERATA,L-FIL-LET,MORONI,Maria Grazia,Macerata,F,Marche,Centro
MILANO,BIO,MORONI,Anna,Milano,F,Lombardia,Nord
MILANO,GEO,MORONI,Marilena,Milano,F,Lombardia,Nord
MILANO,VET,MORONI,Paolo,Milano,M,Lombardia,Nord
Politecnica delle MARCHE,SECS-P,MORONI,Marco,Ancona,M,Marche,Centro
Politecnico di MILANO,ING-IND,MORONI,Giovanni,Milano,M,Lombardia,Nord
Politecnico di MILANO,ICAR,MORONI,Stefano,Milano,M,Lombardia,Nord
"ROMA \La Sapienza\\\\\""""",MED,MORONI,Carlo,Roma,M,Lazio,Centro
ROMA TRE,L-FIL-LET,MORONI,Ornella,Roma,F,Lazio,Centro
SIENA,BIO,MORONI,Adriana,Siena,F,Toscana,Centro
TRENTO,L-LIN,MORONI,Manuela Caterina,Trento,F,Trentino-Alto-Adige,Nord
"URBINO \Carlo BO\\\\\""""",IUS,MORONI,Enrico,Urbino,M,Marche,Centro
"ROMA \La Sapienza\\\\\""""",CHIM,MOROSETTI,Stefano,Roma,M,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",MED,MOROSETTI,Massimo,Roma,M,Lazio,Centro
FIRENZE,ING-INF,MOROSI,Simone,Firenze,M,Toscana,Centro
INSUBRIA,CHIM,MOROSI,Gabriele,Varese,M,Lombardia,Nord
Politecnico di MILANO,MAT,MOROSI,Carlo,Milano,M,Lombardia,Nord
INSUBRIA,ICAR,MOROSINI,Cristiana,Varese,F,Lombardia,Nord
PADOVA,BIO,MOROSINOTTO,Tomas,Padova,M,Veneto,Nord
PERUGIA,MED,MOROZZI,Bruno,Perugia,M,Umbria,Centro
SIENA,MED,MOROZZI,Gabriella,Siena,F,Toscana,Centro
"ROMA \Tor Vergata\\\\\""""",BIO,MOROZZODELLAROCCA,Blasco,Roma,M,Lazio,Centro
ROMA TRE,M-STO,MOROZZODELLAROCCA,Roberto,Roma,M,Lazio,Centro
"URBINO \Carlo BO\\\\\""""",IUS,MOROZZODELLAROCCA,Paolo,Urbino,M,Marche,Centro
GENOVA,ICAR,MOROZZODELLAROCCAEDIBIANZE,Maria,Genova,F,Liguria,Nord
MILANO,INF,MORPURGO,Anna Chiara Giovanna,Milano,F,Lombardia,Nord
PADOVA,CHIM,MORPURGO,Margherita,Padova,F,Veneto,Nord
"ROMA \La Sapienza\\\\\""""",CHIM,MORPURGO,Simone,Roma,M,Lazio,Centro
SIENA,L-LIN,MORPURGO,Anna,Siena,F,Toscana,Centro
Universit’¾ IUAV di VENEZIA,ICAR,MORPURGO,Gaddo,Venezia,M,Veneto,Nord
GENOVA,M-PSI,MORRA,Sergio,Genova,M,Liguria,Nord
"NAPOLI \Federico II\\\\\""""",GEO,MORRA,Vincenzo,Napoli,M,Campania,Sud
Politecnico di TORINO,ICAR,MORRA,Luigi,Torino,M,Piemonte,Nord
PALERMO,SECS-S,MORREALE,Michele,Palermo,M,Sicilia,Sicilia
UKE - Universit’¾ Kore di ENNA,ING-IND,MORREALE,Marco,Enna,M,Sicilia,Sicilia
PALERMO,MED,MORREALEBUBELLA,Daniele,Palermo,M,Sicilia,Sicilia
PERUGIA,CHIM,MORRESI,Assunta,Perugia,F,Umbria,Centro
ROMA TRE,SECS-P,MORRESI,Ottorino,Roma,M,Lazio,Centro
Universit’¾ IUAV di VENEZIA,ICAR,MORRESI,Manuela Maria,Venezia,F,Veneto,Nord
BOLOGNA,ING-IND,MORRI,Alessandro,Bologna,M,Emilia-Romagna,Nord
Cattolica del Sacro Cuore,IUS,MORRI,Francesca,Milano,F,Lombardia,Nord
GENOVA,BIO,MORRI,Carla,Genova,F,Liguria,Nord
"ROMA \La Sapienza\\\\\""""",M-GGR,MORRI,Riccardo,Roma,M,Lazio,Centro
GENOVA,MAT,MORRO,Angelo,Genova,M,Liguria,Nord
BOLOGNA,IUS,MORRONE,Andrea,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,MED,MORRONE,Gianfranco,Bologna,M,Emilia-Romagna,Nord
CATANZARO,BIO,MORRONE,Giovanni,Catanzaro,M,Calabria,Sud
della CALABRIA,BIO,MORRONE,Luigi Antonio,Arcavacata,M,Calabria,Sud
della CALABRIA,L-FIL-LET,MORRONE,Rosina,Arcavacata,F,Calabria,Sud
FIRENZE,MED,MORRONE,Amelia,Firenze,F,Toscana,Centro
MACERATA,M-PSI,MORRONE,Matilde,Macerata,F,Marche,Centro
"NAPOLI \Federico II\\\\\""""",L-FIL-LET,MORRONE,Cobaltina Antonietta Maria,Napoli,F,Campania,Sud
PISA,BIO,MORRONE,Maria Concetta,Pisa,F,Toscana,Centro
"ROMA \La Sapienza\\\\\""""",MED,MORRONE,Stefania,Roma,F,Lazio,Centro
Seconda Univ. NAPOLI,ING-IND,MORRONE,Biagio,Napoli,M,Campania,Sud
Seconda Univ. NAPOLI,M-FIL,MORRONE,Giovanni,Napoli,M,Campania,Sud
BOLOGNA,BIO,MORRONI,Fabiana,Bologna,F,Emilia-Romagna,Nord
PISA,SECS-P,MORRONI,Mario,Pisa,M,Toscana,Centro
Politecnica delle MARCHE,BIO,MORRONI,Manrico,Ancona,M,Marche,Centro
"ROMA \La Sapienza\\\\\""""",IUS,MORRONI,Donatella,Roma,F,Lazio,Centro
"ROMA \Tor Vergata\\\\\""""",MAT,MORSELLA,Gerardo,Roma,M,Lazio,Centro
BOLOGNA,CHIM,MORSELLI,Luciano,Bologna,M,Emilia-Romagna,Nord
BOLOGNA,MED,MORSELLI,Paolo Giovanni,Bologna,M,Emilia-Romagna,Nord
TERAMO,L-ART,MORSELLI,Raffaella,Teramo,F,Abruzzo,Sud
TRIESTE,L-ANT,MORSELLI,Chiara,Trieste,F,Friuli-Venezia-Giulia,Nord
"URBINO \Carlo BO\\\\\""""",IUS,MORSIANI,Simon Luca,Urbino,M,Marche,Centro
FERRARA,GEO,MORSILLI,Michele Domenico,Ferrara,M,Emilia-Romagna,Nord
INSUBRIA,MED,MORTARA,Lorenzo,Varese,M,Lombardia,Nord
IULM - MILANO,SPS,MORTARA,Ariela,Milano,F,Lombardia,Nord
Mediterranea di REGGIO CALABRIA,ICAR,MORTARA,Giuseppe,ReggioCalabria,M,Calabria,Sud
MILANO,SECS-P,MORTARA,Carlo Andrea,Milano,M,Lombardia,Nord
"ROMA \Tor Vergata\\\\\""""",L-LIN,MORTARA,Elena Emilia,Roma,F,Lazio,Centro
TORINO,MED,MORTARA,Paolo,Torino,M,Piemonte,Nord
VERONA,M-PED,MORTARI,Luigina,Verona,F,Veneto,Nord
TORINO,CHIM,MORTARINI,Vittorio,Torino,M,Piemonte,Nord
MILANO,VET,MORTARINO,Michele,Milano,M,Lombardia,Nord
PADOVA,SECS-S,MORTARINO,Cinzia,Padova,F,Veneto,Nord
BARI,SPS,MORTELLARO,Isidoro Davide,Bari,M,Puglia,Sud
MILANO,VET,MORTELLARO,Carlo Maria,Milano,M,Lombardia,Nord
PIEMONTE ORIENTALE,MED,MORTELLARO,Carmela,Vercelli,F,Piemonte,Nord
MODENA e REGGIO EMILIA,FIS,MORTEN,Bruno,Modena,M,Emilia-Romagna,Nord
ROMA TRE,SECS-S,MORTERA,Julia,Roma,F,Lazio,Centro
TORINO,CHIM,MORTERRA,Claudio,Torino,M,Piemonte,Nord
S. Raffaele MILANO,MED,MORTINI,Pietro,Milano,M,Lombardia,Nord
ROMA TRE,ICAR,MORTOLA,Elena,Roma,F,Lazio,Centro
PISA,FIS,MORUZZI,Giovanni,Pisa,M,Toscana,Centro
PISA,AGR,MORUZZO,Roberta,Pisa,F,Toscana,Centro
ROMA TRE,IUS,MORVIDUCCI,Claudia,Roma,F,Lazio,Centro
PADOVA,CHIM,MORVILLO,Antonino,Padova,M,Veneto,Nord
